orig.row,id,make,model,year,class,trans,drive,cyl,displ,fuel,hwy,cty,combined,kwh.t,kwh.a,range,kwh.p.100mi,mi.per.kwh,lbs,kg,hp,torque,current,demo,cargo.vol,cargo.max,passenger.volume,interior.volume,seating,max.home.charge.kw
1232,31893,Azure Dynamics,Transit Connect,2012,Special Purpose,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,62,62,62,28,,56,54,2,3985,,140,215,y,n,,,,,,
2237,32276,BMW,Active E,2011,Subcompact,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,96,107,102,32,,94,33,2.94,4000,1800,168,184,n,y,6,6,86,92,,
,,BMW,i3,2014,Subcompact,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,111,137,124,22,18.8,81,27,3.68,2635,1193,170,184,y,n,9.2,38.8,84,99,4,7.4
,,BMW,i3-rex,2014,Subcompact,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,79,97,117,22,18.8,72,29,3.27,2899,1315,170,184,y,n,9.2,38.8,84,99,4,7.4
3252,33337,CODA Automotive,CODA,2012,Subcompact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,68,77,73,31,,88,46,2.84,3670,1660,130,,n,n,,,,,,
6135,30977,Chevrolet,S10 Electric,1998,Small Pickup,Automatic (A1),2-Wheel Drive,NA,NA,Electricity,28,28,,29,,72,,2.48,4199,1905,114,,n,y,,,,,,
6559,33640,Chevrolet,Spark EV,2014,Subcompact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,109,128,119,21.3,,82,28,3.85,2989,1356,130,400,y,n,9.6,23.4,86.3,97.7,,3.3
8473,30973,Dodge,Caravan,1999,Minivan,Automatic (A1),2-Wheel Drive,NA,NA,Electricity,33,37,,,,,,,,,,,n,y,,,,,,
10614,34392,Fiat,500e,2013,MiniCompact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,108,122,116,24,,87,29,3.63,2952,1342,111,147,y,n,7,30.1,72,78.6,,
11697,18291,Ford,Explorer USPS Electric,2002,SUV,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,33,45,39,,,38,87,,,,,,n,y,,,,,,
12413,34130,Ford,Focus Electric,2013,Compact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,99,110,105,23,,76,32,3.3,3691,1674,143,181,y,n,14.5,44.8,100,114.5,,6.6
12944,30965,Ford,Ranger Pickup,2001,Standard Pickup,Automatic (A1),2-Wheel Drive,NA,NA,Electricity,54,62,58,31,,50,58,1.61,,,,,n,y,,,,,,
16430,33905,Honda,Fit EV,2013,Compact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,105,132,118,20,,82,29,4.1,3252,,123,140,y,n,12,49.2,89.3,101.3,5,
,,Mercedes,B-class Electric,2014,Midsize,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,83,85,84,28,,87,40,3.11,3900,1773,177,251,y,n,21.6,51.4,90,111.6,,10
24031,34901,Mitsubishi,i-MiEV,2012,Subcompact,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,99,126,112,16,,62,30,3.88,2380,1080,63,133,y,n,,,,,,
24489,34918,Nissan,Leaf,2012,Midsize,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,101,126,114,24,,84,30,3.5,3291,1493,110,210,y,n,24,30,92.4,116.4,5,6.6
28630,33307,Scion,iQ EV,2013,MiniCompact,Automatic (variable gear ratios),Front-Wheel Drive,NA,NA,Electricity,105,138,121,12,,38,28,3.17,2321,1055,64,,n,y,,,,,,
30007,32557,Tesla,Model S,2012,Large,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,90,88,89,85,,265,38,3.12,4647,2108,416,443,n,n,26.3,58.1,94,120,,22
30008,33612,Tesla,Model S 40,2013,Large,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,96,93,94,40,,139,36,3.48,4647,,,,n,n,26.3,58.1,94,120,,22
30010,34776,Tesla,Model S 60,2013,Large,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,97,94,95,60,,208,35,3.47,4647,2108,302,317,y,n,26.3,58.1,94,120,,22
30012,34775,Tesla,Model S 85,2013,Large,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,90,88,89,85,,265,38,3.12,4647,2108,416,443,y,n,26.3,58.1,94,120,5,22
31053,34425,Toyota,RAV4 EV,2013,Small SUV,Automatic (variable gear ratios),Front-Wheel Drive,NA,NA,Electricity,74,78,76,41.8,,103,44,2.46,4030,1830,154,220,y,n,36.4,73,108.2,144.6,,10
33437,31064,smart,fortwo EV cabriolet,2011,Two Seaters,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,79,94,87,16.5,,63,39,3.82,2150,977,40,89,n,y,7.8,7.8,45.4,53.2,,3.3
33439,34393,smart,fortwo EV convertible,2013,Two Seaters,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,93,122,107,17.6,,68,32,3.86,2150,977,74,96,y,n,7.8,7.8,45.4,53.2,,3.3
33442,34394,smart,fortwo EV coupe,2013,Two Seaters,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,93,122,107,17.6,,68,32,3.86,2150,977,74,96,y,n,7.8,7.8,45.4,53.2,,3.3
,,Tesla,Roadster,2006,Sports Car,Automatic (A1),Rear-Wheel Drive,NA,NA,Electricity,,,119,53,,244,32,4.6,2723,1238,248,200,n,n,6,6,,,,16.8
,,BYD,e6,2012,SUV,Automatic (A1),All-Wheel Drive,NA,NA,Electricity,64,60,62,75,,127,54,1.69,4453,2020,215,,y,n,,,,,,
,,BMW,Mini-E,2009,Subcompact,Automatic (A1),Front-Wheel Drive,NA,NA,Electricity,94,102,98,35,,100,34,2.86,4001,1815,200,,n,y,,,,,,
